file	hydrophobic	hbond	saltbridge	pistacking	pication	halogen	metal
/Volumes/GigiMurin/plip/sterol_lipids/BD1a27-A-A-EST1/report.txt	5	3	0	0	0	0	0
/Volumes/GigiMurin/plip/sterol_lipids/BD1a28-A-A-STR1/report.txt	7	2	0	0	0	0	0
/Volumes/GigiMurin/plip/sterol_lipids/BD1a52-A-A-EST1/report.txt	8	2	0	1	0	0	0
/Volumes/GigiMurin/plip/sterol_lipids/BD1a52-B-B-EST1/report.txt	7	2	0	1	0	0	0
/Volumes/GigiMurin/plip/sterol_lipids/BD1afs-A-A-TES1/report.txt	8	0	0	0	0	0	0
/Volumes/GigiMurin/plip/sterol_lipids/BD1ahi-A-A-CHO1/report.txt	6	3	0	0	0	0	0
/Volumes/GigiMurin/plip/sterol_lipids/BD1ahi-B-B-CHO1/report.txt	3	3	0	0	0	0	0
/Volumes/GigiMurin/plip/sterol_lipids/BD1aql-A-A-TCH1/report.txt	0	3	0	0	0	0	0
/Volumes/GigiMurin/plip/sterol_lipids/BD1aql-A-A-TCH2/report.txt	6	5	1	0	0	0	0
/Volumes/GigiMurin/plip/sterol_lipids/BD1aql-A-B-TCH1/report.txt	0	0	0	0	0	0	0
/Volumes/GigiMurin/plip/sterol_lipids/BD1aql-B-A-TCH1/report.txt	0	1	0	0	0	0	0
/Volumes/GigiMurin/plip/sterol_lipids/BD1aql-B-B-TCH1/report.txt	4	4	0	0	0	0	0
/Volumes/GigiMurin/plip/sterol_lipids/BD1aql-B-B-TCH2/report.txt	5	5	1	0	0	0	0
/Volumes/GigiMurin/plip/sterol_lipids/BD1aqu-A-A-EST1/report.txt	2	3	0	1	0	0	0
/Volumes/GigiMurin/plip/sterol_lipids/BD1aqu-A-B-EST1/report.txt	0	1	0	0	0	0	0
/Volumes/GigiMurin/plip/sterol_lipids/BD1aqu-B-B-EST1/report.txt	2	3	0	1	0	0	0
/Volumes/GigiMurin/plip/sterol_lipids/BD1bfv-H-H-STG1/report.txt	6	3	0	0	0	0	0
/Volumes/GigiMurin/plip/sterol_lipids/BD1bfv-L-H-STG1/report.txt	0	1	0	0	0	0	0
/Volumes/GigiMurin/plip/sterol_lipids/BD1bxm-A-A-ERG1/report.txt	11	1	0	0	0	0	0
/Volumes/GigiMurin/plip/sterol_lipids/BD1cfv-H-H-E3G1/report.txt	6	3	0	0	0	0	0
/Volumes/GigiMurin/plip/sterol_lipids/BD1cfv-L-H-E3G1/report.txt	3	1	0	0	0	0	0
/Volumes/GigiMurin/plip/sterol_lipids/BD1cle-A-A-CLL1/report.txt	16	0	1	0	0	0	0
/Volumes/GigiMurin/plip/sterol_lipids/BD1coy-A-A-AND1/report.txt	8	2	0	0	0	0	0
/Volumes/GigiMurin/plip/sterol_lipids/BD1cqs-A-A-EQU1/report.txt	4	1	0	2	0	0	0
/Volumes/GigiMurin/plip/sterol_lipids/BD1cqs-B-B-EQU1/report.txt	3	2	0	1	0	0	0
/Volumes/GigiMurin/plip/sterol_lipids/BD1d2s-A-A-DHT1/report.txt	5	2	0	0	0	0	0
/Volumes/GigiMurin/plip/sterol_lipids/BD1db1-A-A-VDX1/report.txt	10	4	0	0	0	0	0
/Volumes/GigiMurin/plip/sterol_lipids/BD1dbb-H-H-STR1/report.txt	3	2	0	0	0	0	0
/Volumes/GigiMurin/plip/sterol_lipids/BD1dbb-L-H-STR1/report.txt	1	0	0	0	0	0	0
/Volumes/GigiMurin/plip/sterol_lipids/BD1dbj-H-H-AE21/report.txt	5	3	0	0	0	0	0
/Volumes/GigiMurin/plip/sterol_lipids/BD1dbk-H-H-ANO1/report.txt	2	2	0	0	0	0	0
/Volumes/GigiMurin/plip/sterol_lipids/BD1dht-A-A-DHT1/report.txt	7	1	0	0	0	0	0
/Volumes/GigiMurin/plip/sterol_lipids/BD1e3g-A-A-R181/report.txt	7	3	0	0	0	0	0
/Volumes/GigiMurin/plip/sterol_lipids/BD1e3k-A-A-R181/report.txt	7	2	0	0	0	0	0
/Volumes/GigiMurin/plip/sterol_lipids/BD1e3r-A-A-AND1/report.txt	5	0	0	0	0	0	0
/Volumes/GigiMurin/plip/sterol_lipids/BD1e3r-B-B-AND1/report.txt	2	2	0	0	0	0	0
/Volumes/GigiMurin/plip/sterol_lipids/BD1e3v-A-A-DXC1/report.txt	4	2	0	0	0	0	0
/Volumes/GigiMurin/plip/sterol_lipids/BD1e6w-C-C-EST1/report.txt	1	1	0	0	0	0	0
/Volumes/GigiMurin/plip/sterol_lipids/BD1ee2-A-A-CHD1/report.txt	5	3	1	0	0	0	0
/Volumes/GigiMurin/plip/sterol_lipids/BD1ee2-A-B-CHD1/report.txt	1	0	0	0	0	0	0
/Volumes/GigiMurin/plip/sterol_lipids/BD1ee2-B-A-CHD1/report.txt	1	0	0	0	0	0	0
/Volumes/GigiMurin/plip/sterol_lipids/BD1eio-A-A-GCH1/report.txt	6	7	1	0	0	0	0
/Volumes/GigiMurin/plip/sterol_lipids/BD1equ-A-A-EQI1/report.txt	6	2	0	0	0	0	0
/Volumes/GigiMurin/plip/sterol_lipids/BD1ere-A-A-EST1/report.txt	5	2	0	1	0	0	0
/Volumes/GigiMurin/plip/sterol_lipids/BD1eup-A-A-ASD1/report.txt	5	2	0	0	0	0	0
/Volumes/GigiMurin/plip/sterol_lipids/BD1eup-A-A-ASD2/report.txt	7	1	0	0	0	0	0
/Volumes/GigiMurin/plip/sterol_lipids/BD1ex4-A-A-CPS1/report.txt	2	2	0	0	0	0	0
/Volumes/GigiMurin/plip/sterol_lipids/BD1ex4-A-A-CPS2/report.txt	6	1	0	0	0	0	0
/Volumes/GigiMurin/plip/sterol_lipids/BD1ex4-B-B-CPS1/report.txt	2	0	0	0	0	0	0
/Volumes/GigiMurin/plip/sterol_lipids/BD1ex4-B-B-CPS2/report.txt	7	1	1	0	1	0	0
/Volumes/GigiMurin/plip/sterol_lipids/BD1f5f-A-A-DHT1/report.txt	6	1	0	0	0	0	0
/Volumes/GigiMurin/plip/sterol_lipids/BD1f6a-A-A-CPS1/report.txt	0	1	0	0	0	0	0
/Volumes/GigiMurin/plip/sterol_lipids/BD1f6a-A-A-CPS2/report.txt	0	1	1	0	1	0	0
/Volumes/GigiMurin/plip/sterol_lipids/BD1f6a-A-D-CPS1/report.txt	3	0	0	0	0	0	0
/Volumes/GigiMurin/plip/sterol_lipids/BD1f6a-D-A-CPS1/report.txt	1	0	0	0	0	0	0
/Volumes/GigiMurin/plip/sterol_lipids/BD1f6a-D-A-CPS2/report.txt	0	1	0	0	0	0	0
/Volumes/GigiMurin/plip/sterol_lipids/BD1f6a-D-D-CPS1/report.txt	0	2	0	0	0	0	0
/Volumes/GigiMurin/plip/sterol_lipids/BD1f6a-D-D-CPS2/report.txt	0	0	0	0	0	0	0
/Volumes/GigiMurin/plip/sterol_lipids/BD1f6a-D-D-CPS3/report.txt	0	0	0	0	0	0	0
/Volumes/GigiMurin/plip/sterol_lipids/BD1fds-A-A-EST1/report.txt	4	1	0	0	0	0	0
/Volumes/GigiMurin/plip/sterol_lipids/BD1fdt-A-A-EST1/report.txt	7	3	0	0	0	0	0
/Volumes/GigiMurin/plip/sterol_lipids/BD1fdu-A-A-EST1/report.txt	7	3	0	0	0	0	0
/Volumes/GigiMurin/plip/sterol_lipids/BD1fdw-A-A-EST1/report.txt	6	1	0	0	0	0	0
/Volumes/GigiMurin/plip/sterol_lipids/BD1fm4-A-A-DXC1/report.txt	7	2	1	0	0	0	0
/Volumes/GigiMurin/plip/sterol_lipids/BD1fm4-A-A-DXC2/report.txt	6	4	0	0	0	0	0
/Volumes/GigiMurin/plip/sterol_lipids/BD1fmc-A-A-CHO1/report.txt	3	3	0	0	0	0	0
/Volumes/GigiMurin/plip/sterol_lipids/BD1g50-A-A-EST1/report.txt	7	4	0	1	0	0	0
/Volumes/GigiMurin/plip/sterol_lipids/BD1g50-B-B-EST1/report.txt	8	2	0	1	0	0	0
/Volumes/GigiMurin/plip/sterol_lipids/BD1g50-C-C-EST1/report.txt	7	3	0	1	0	0	0
/Volumes/GigiMurin/plip/sterol_lipids/BD1gr3-A-A-CPS1/report.txt	4	1	0	0	0	0	0
/Volumes/GigiMurin/plip/sterol_lipids/BD1gs3-A-A-EQU1/report.txt	2	2	0	0	0	0	0
/Volumes/GigiMurin/plip/sterol_lipids/BD1gs4-A-A-ZK51/report.txt	8	4	0	0	0	0	0
/Volumes/GigiMurin/plip/sterol_lipids/BD1gwr-A-A-EST1/report.txt	5	2	0	1	0	0	0
/Volumes/GigiMurin/plip/sterol_lipids/BD1gwr-B-B-EST1/report.txt	5	2	0	1	0	0	0
/Volumes/GigiMurin/plip/sterol_lipids/BD1h60-A-A-STR1/report.txt	5	1	0	0	0	0	0
/Volumes/GigiMurin/plip/sterol_lipids/BD1h61-A-A-PDN1/report.txt	3	2	0	0	0	0	0
/Volumes/GigiMurin/plip/sterol_lipids/BD1h62-A-A-ANB1/report.txt	4	1	0	0	0	0	0
/Volumes/GigiMurin/plip/sterol_lipids/BD1hrk-A-A-CHD1/report.txt	5	1	0	0	0	0	0
/Volumes/GigiMurin/plip/sterol_lipids/BD1hrk-A-A-CHD2/report.txt	6	0	1	0	0	0	0
/Volumes/GigiMurin/plip/sterol_lipids/BD1hrk-A-A-CHD3/report.txt	3	0	0	0	0	0	0
/Volumes/GigiMurin/plip/sterol_lipids/BD1hrk-B-B-CHD1/report.txt	5	1	1	0	0	0	0
/Volumes/GigiMurin/plip/sterol_lipids/BD1hrk-B-B-CHD2/report.txt	6	0	1	0	0	0	0
/Volumes/GigiMurin/plip/sterol_lipids/BD1hrk-B-B-CHD3/report.txt	3	0	0	0	0	0	0
/Volumes/GigiMurin/plip/sterol_lipids/BD1hv5-A-A-CPS1/report.txt	3	2	0	0	0	0	0
/Volumes/GigiMurin/plip/sterol_lipids/BD1hv5-A-A-CPS2/report.txt	3	1	0	0	0	0	0
/Volumes/GigiMurin/plip/sterol_lipids/BD1hv5-B-B-CPS1/report.txt	1	1	0	0	0	0	0
/Volumes/GigiMurin/plip/sterol_lipids/BD1hv5-B-B-CPS2/report.txt	3	3	0	0	0	0	0
/Volumes/GigiMurin/plip/sterol_lipids/BD1hv5-C-C-CPS1/report.txt	1	1	0	0	0	0	0
/Volumes/GigiMurin/plip/sterol_lipids/BD1hv5-C-C-CPS2/report.txt	5	0	0	0	0	0	0
/Volumes/GigiMurin/plip/sterol_lipids/BD1hv5-D-D-CPS1/report.txt	2	1	0	0	0	0	0
